,Design Option,Category,Family,Type,Family and Type,Type Id,Type Name,Family Name,Host,Level,Moves With Nearby Elements,Offset from Host,Host Id,Phase Created,Phase Demolished,Height,Render Appearance,Elevation from Level,Type Comments,Area,Volume,Depth,Label,Material,Width,Toe Depth,Toe Height,Cabinet Material,Door/Drawer Material,Handle Material,Panel Face Material,Burner Material,Range Material,Base Level,Base Offset,Column Location Mark,Column Style,Moves With Grids,Room Bounding,Top Level,Top Offset,Length,Structural Material,Enable Analytical Model,Rebar Cover - Bottom Face,Rebar Cover - Other Faces,Rebar Cover - Top Face,b,h,Section Shape,Cross-Section Rotation,End Level Offset,Orientation,Reference Level,Reference Level Elevation,Start Level Offset,Work Plane,Elevation at Bottom,Elevation at Top,End Extension,Join Status,Start Extension,y Justification,y Offset Value,yz Justification,z Justification,z Offset Value,Cut Length,End Connection,Start Connection,Stick Symbol Location,Structural Usage,Height Offset From Level,Perimeter,Absorptance,Roughness,Thickness,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Mark,Bowl/Basin Material,Seat Material,Counter Height,Fixture Material,Sink Material,Length - Leg 1,Length - Leg 2,Sink Location,Sink Location To Wall,Sink Opening Depth,Sink Opening Width,Counter Thickness,Counter Top Material,Angle,Offset,Corner Mullion,Position,Profile,Width on side 1,Width on side 2,Trim Thickness,Trim Width,Frame Material,Offset from Path,Angled Joins,Baluster Offset,Landing Height Adjustment,Rail Connections,Railing Height,Tangent Joins,Use Landing Height Adjustment,Baluster Family,Baluster Length,Baluster Separation,Baluster Shape,Baluster Spacing Type (Stair Railing Only),Baluster Width,Balusters Per Tread (Stair Railing Only),Rail Shape,Railing Thickness,Railing Width,Lateral Offset,Down arrow,Down label,Down text,Show Up arrow in all views,Up arrow,Up label,Up text,Maximum Riser Height,Minimum Tread Depth,Extend Below Base,Function,Landing Overlap,Monolithic Stairs,Underside of Winder,Break Symbol in Plan,Text Font,Text Size,Monolithic Material,Riser Material,Stringer Material,Tread Material,Begin with Riser,End with Riser,Riser Thickness,Riser Type,Riser to Tread Connection,Landing Carriage Height,Left Stringer,Middle Stringers,Open Stringer Offset,Right Stringer,Stringer Carriage Height,Stringer Height,Stringer Thickness,Trim Stringers at Top,Apply Nosing Profile,Nosing Length,Nosing Profile,Tread Thickness,Rebar Cover,Diameter,Offset Base,Offset Top,Seat/Back Material,Base Material,Top Material,Cushion Material,Center Width,Mattress Material,Drawer Material,Dresser Material,Knob Material,Tubing Material,Sofa Material,Desk-Body,Handle/Leg Material,Centre Piece,Chair Side Spacing,Leg Spacing Length,Leg Spacing Width,Leg Width,Table Height,Table Top Thickness,Vis - End Chairs,Keynote,Material Chair Covering,Material Chair Structure,Material Table,Extrusion End,Extrusion Start,Level Offset,Related to Mass,Fascia Depth,Rafter Cut,Slope,Default Thickness,Span Direction,Structural,Display in Hidden Views,Sill Height,Head Height,Wall Closure,Trim Projection Ext,Trim Projection Int,Type Mark,Door Material,Rail Width - Base,Rail Width - Top,Stile Width - Hinge,Stile Width - Latch,Trim Projection,Default Sill Height,Window Inset,Frame Exterior Material,Frame Interior Material,Glass Pane Material,Sash,Trim Projection - Ext.,Trim Projection - Int.,Trim Width - Exterior,Trim Width - Interior,Sash Material,Trim Exterior Material,Trim Interior Material,Base Constraint,Base Extension Distance,Base is Attached,Location Line,Top Constraint,Top Extension Distance,Top is Attached,Unconnected Height,Wrapping at Ends,Wrapping at Inserts,Rebar Cover - Exterior Face,Rebar Cover - Interior Face
457645,None,OST_BuildingPad,Pad 1,Pad 1,Pad 1,Pad 1,Pad 1,Pad,,,,,,New Construction,None,,,,,340.54 m²,103.80 m³,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.50,82.40,0.1,1,0.30,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572325,None,OST_BuildingPad,Pad 1,Pad 1,Pad 1,Pad 1,Pad 1,Pad,,,,,,New Construction,None,,,,,6.69 m²,2.04 m³,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,13.20,0.1,1,0.30,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209024,None,OST_PlumbingFixtures,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,Level : 04 2 kat,04 2 kat,No,0.00,None,New Construction,None,,,0.00,,,,0.92,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209046,None,OST_PlumbingFixtures,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,Level : 04 2 kat,04 2 kat,No,0.00,None,New Construction,None,,,0.00,,,,0.92,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209100,None,OST_PlumbingFixtures,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,Level : 05 3kat,05 3kat,No,0.00,None,New Construction,None,,,0.00,,,,0.92,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210539,None,OST_PlumbingFixtures,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,Level : 02 zemin kat,02 zemin kat,No,0.00,None,New Construction,None,,,0.00,,,,0.92,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210545,None,OST_PlumbingFixtures,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,Level : 02 zemin kat,02 zemin kat,No,0.00,None,New Construction,None,,,0.00,,,,0.92,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210552,None,OST_PlumbingFixtures,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,Level : 03 1kat,03 1kat,No,0.00,None,New Construction,None,,,0.00,,,,0.92,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210558,None,OST_PlumbingFixtures,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,Level : 03 1kat,03 1kat,No,0.00,None,New Construction,None,,,0.00,,,,0.92,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217483,None,OST_PlumbingFixtures,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,Level : 06 çatı kullanımı,06 çatı kullanımı,No,0.00,None,New Construction,None,,,0.00,,,,0.92,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218246,None,OST_PlumbingFixtures,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,M_Shower Stall-2D,Level : 06 çatı kullanımı,06 çatı kullanımı,No,0.00,None,New Construction,None,,,0.00,,,,0.92,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209025,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 04 2 kat,04 2 kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209026,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 04 2 kat,04 2 kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209047,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 04 2 kat,04 2 kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209048,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 04 2 kat,04 2 kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209079,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 05 3kat,05 3kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209080,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 05 3kat,05 3kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209101,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 05 3kat,05 3kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209102,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 05 3kat,05 3kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210540,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 02 zemin kat,02 zemin kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210541,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 02 zemin kat,02 zemin kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210547,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 02 zemin kat,02 zemin kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210554,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 03 1kat,03 1kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210560,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 03 1kat,03 1kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211285,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Floor : grebeton,01 bodrum kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217686,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 06 çatı kullanımı,06 çatı kullanımı,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218247,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 06 çatı kullanımı,06 çatı kullanımı,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287073,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 02 zemin kat,02 zemin kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287408,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 03 1kat,03 1kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287434,None,OST_PlumbingFixtures,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,M_Toilet-Domestic-3D,Level : 03 1kat,03 1kat,No,0.00,None,New Construction,None,,,0.00,,1.88 m²,0.03 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,194392,194108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209027,None,OST_PlumbingFixtures,450 x 450mm,450 x 450mm,450 x 450mm,450 x 450mm,450 x 450mm,M_Sink Kitchen-Island,Level : 04 2 kat,04 2 kat,No,0.00,None,New Construction,None,,,0.00,,0.51 m²,0.01 m³,0.45,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,0.90,195301,195301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209031,None,OST_PlumbingFixtures,450 x 450mm,450 x 450mm,450 x 450mm,450 x 450mm,450 x 450mm,M_Sink Kitchen-Island,Level : 04 2 kat,04 2 kat,No,0.00,None,New Construction,None,,,0.00,,0.51 m²,0.01 m³,0.45,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,0.90,195301,195301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209049,None,OST_PlumbingFixtures,450 x 450mm,450 x 450mm,450 x 450mm,450 x 450mm,450 x 450mm,M_Sink Kitchen-Island,Level : 04 2 kat,04 2 kat,No,0.00,None,New Construction,None,,,0.00,,0.51 m²,0.01 m³,0.45,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,0.90,195301,195301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
